,name,born,nickname,height,img_x,birth name,img_y,rank,bio,word_count,attributes
29,Jacqueline Fernandez,"June 2, 
     
1985    
  
in Colombo, Sri Lanka",,"5' 4"" (1.63 m)","https://m.media-amazon.com/images/M/MV5BOTYwNTc1ODE0NF5BMl5BanBnXkFtZTgwNjU3OTA3MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",Jacqueline Fernandez,https://www.forbesindia.com/media/celeblist2019/small/032_Jacqueline%20Fernandez.jpg,32.0,"Jacqueline's father Elroy Fernansez is a Sri Lankan and mother Kim is a Malaysian. She has two brothers and an older sister. Her parents moved to Bahrain when she was very young.

After her schooling in Bahrain, she was awarded a Scholarship to study at the University of Sydney, where she pursued a degree in Media and Communications in Sydney, Australia. Having a passion for cultures and languages she also joined the Berlitz school of languages, where she learned to speak Spanish and improve her French and Arabic.

In 2006, she was crowned the Miss Sri Lanka for Miss Universe 2006 in March, 2006 and also competed in Miss Universe 2006. After winning Miss Sri Lanka title in 2006, she entered the world of television and anchored a show on Sri Lanka's business called Lanka Business Report.

She came to Mumbai on a modeling contract and landed a role in Bollywood movie Aladdin (2009) directed by Sujoy Ghosh along with well known Indian stars like Amitabh Bachchan, Sanjay Dutt, and Riteish Deshmukh. After the success of her first film, she got signed on by Milap Zaveri for his directorial debut movie Jaane Kahan Se Aayi Hai (2010) in which she plays the part of an alien who comes to earth in search of love. Her co-star from her first movie, Riteish Deshmukh was her leading-man again. The director recommended her to well-known director Farah Khan who guest-starred in this movie. She made a cameo appearance (in a song) in the movie Housefull (2010) which was directed by Farah Khan's younger brother, Sajid Khan The Sri Lankan actor didn't have a release this year, but scores on fame and endorsements.",276,"['sri', 'lanka', 'sri lanka', 'miss', 'movie', 'sydney', 'sri lankan', 'miss sri lanka', 'miss sri', 'lankan', 'lanka business', 'bahrain', 'riteish deshmukh', 'riteish']"
30,Naseeruddin Shah,"July 20, 
     
1950    
  
in Barabanki, Uttar Pradesh, India",,"5' 10"" (1.78 m)","https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY98_CR5,0,67,98_AL_.jpg",,,-1.0,"Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children. ",51,"['shah', 'pradesh india actor', 'pathak shah since', 'pathak shah', 'naseeruddin shah born', 'married ratna pathak', 'married ratna', 'league extraordinary gentleman', 'league extraordinary', 'uttar pradesh india', 'ratna', 'pathak', 'naseeruddin shah', 'naseeruddin']"
31,Manoj Bajpayee,"April 23, 
     
1969    
  
in Belwa, Bihar, India",,"5' 7"" (1.7 m)","https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY98_CR3,0,67,98_AL_.jpg",,,-1.0,"Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Reflection (2001). He has been married to Neha since February 23, 2005. ",39,"['neha since february', 'neha since', 'married neha since', 'married neha', 'manoj bajpayee born', 'wasseypur', 'since february', 'satya', 'manoj bajpayee', 'gang wasseypur', 'born april', 'bihar india', 'bihar', 'bajpayee']"
32,Imran Khan,"January 13, 
     
1983    
  
in Madison, Wisconsin, USA",,"5' 7½"" (1.71 m)","https://m.media-amazon.com/images/M/MV5BMTk1MzY4MzgxM15BMl5BanBnXkFtZTgwMTgyMjkyODE@._V1_UY98_CR12,0,67,98_AL_.jpg",Imran Khan Pal,,-1.0,"Imran Khan was born on January 13, 1983 in Madison, Wisconsin, USA as Imran Khan Pal. He is an actor and director, known for Jaane Tu... Ya Jaane Na (2008), Delhi Belly (2011) and Kidnap (2008). He has been married to Avantika Malik since January 10, 2011. They have one child. ",52,"['imran khan', 'imran', 'jaane', 'january', 'pal actor director', 'pal actor', 'na delhi belly', 'na delhi', 'married avantika malik', 'married avantika', 'malik since january', 'malik since', 'madison wisconsin usa', 'madison wisconsin']"
33,Minissha Lamba,"January 18, 
     
1985    
  
in India",,"5' 2"" (1.57 m)","https://m.media-amazon.com/images/M/MV5BMTVkMzhkNWItYmIwMy00MTJmLWE2OTItOTcwMjVlMzg4YzEzXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY98_CR3,0,67,98_AL_.jpg",,,-1.0,"Minisha Lamba was born in the New Delhi-based Punjabi speaking Sikh family consisting of her dad Kewal, mom Manju, and brother Karan. She had not really decided to act in films, her goal was to become a Journalist, but she loved modeling and was fortunate enough to be selected to model for Cadbury. Clearly her intent was to complete her education, concentrate on an academic career and do some modeling on the side. She was successful in completing her schooling from Chennai, Tamil Nadu, as well as from Srinagar's Army School, and then majored in English with Honors in 2004 from Delhi University affiliate Miranda House.

She got her first break unexpectedly, when she was auditioning for a Cadbury commercial in Delhi. Bollywood Director, Shoojit Sircar, approached her and signed her to to act ""Yahaan (2005)'. She has subsequently changed her first name to Minissha.

Since the movie was successful in launching her career as an actress, she re-located to Mumbai and has starred in over a dozen movies. Some of the more popular ones include: Corporate, Heyy Babyy, Bachna Ae Haseeno, and Well Done Abba. ",185,"['delhi', 'cadbury', 'act', 'modeling', 'successful', 'punjabi speaking sikh', 'popular include corporate', 'popular include', 'name minissha since', 'name minissha', 'nadu well srinagar', 'nadu well', 'mumbai starred dozen', 'mumbai starred']"
34,Asin Thottumkal,"October 26, 
     
1985    
  
in Cochin, Kerala, India",,"5' 2"" (1.58 m)","https://m.media-amazon.com/images/M/MV5BMjA4MjkyMzAxNl5BMl5BanBnXkFtZTcwOTEyMjMyMg@@._V1_UX67_CR0,0,67,98_AL_.jpg",Asin Thottumkal,,-1.0,"Asin was born in Cochin, Kerala, India in the Malayalam-speaking Thottumkal family which consists of her businessman dad, Joseph, and mom, Dr. Seline, who practices in Ernakulam. She attended Naval Public School in Cochin, and after obtaining her Matriculation, was enrolled in St. Theresa's Higher Secondary School. After successfully obtaining her Higher Secondary School Certificate, she enrolled in St. Theresa's College to continue studying in the Arts Faculty. After obtaining a Degree in B.A. English Literature, she assisted her dad in his business (which includes software, export of furniture and antiques) and also took up modeling on the side. Her modeling assignments included Colgate Toothpaste, and Fairever Cream.

This exposure got her noticed and she made her debut on the tinsel screen through director Sathyan Anthikad's ""Narendaran Makan"" with Malayalyee actor Kunjachacko Boban.

After her initial success, she was offered Telugu movies, and warmly welcomed in the Telugu film industry. It was a smooth transition from Telugu to Tamil with the film ""M Kumaran s/o Mahalakshmi"". Asin starred in the original Telugu version, so she was the obvious choice for the Tamil remake, opposite Jeyam Ravi. The movie was a super hit. What makes Asin hot in the Tamil film industry, apart from her looks, is that she has teamed up with all the top heroes -- Vijay, Ajith, Surya and now Vikram, in ""Maja"".

She speaks a wide range of languages such as Malyalam, Tamil, Telugu, Hindi, Sanskrit, English, French, and may well be the only Indian actress with a Blogspot in French. She is very active in various functions throughout Southern India, and credits her good upbringing to her parents, who she considers her role models. She was the winner of an entrepreneurial award as a teenager. She is fond of reading and has a huge collection of books.

Asin, along with her mom and dad, have left their Harrington Road apartment at Chetpet, Chennai, and have re-located to an apartment in Lokhandwala Complex, in Andheri (West), Mumbai, in order to enable her to debut in Bollywood movies.

She has had a taste of success at a very young age in Indian regional movies, it remains to be seen if her success will continue in Bollywood also. ",365,"['asin', 'telugu', 'obtaining', 'tamil', 'theresa', 'st theresa', 'higher secondary school', 'higher secondary', 'enrolled st theresa', 'dad', 'secondary school', 'secondary', 'higher', 'enrolled st']"
35,Akshay Kumar,"September 9, 
     
1967    
  
in Amritsar, Punjab, India","Akki
Mac
Khiladi
Khiladi Kumar","5' 10"" (1.78 m)","https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY98_CR5,0,67,98_AL_.jpg",Rajiv Hari Om-Bhatia,https://www.forbesindia.com/media/celeblist2019/small/002_Akshay%20Kumar.jpg,2.0,"Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do adventurous movies. He does his own stunts in his films. His breakthrough performance was in Saugandh (1991). He was well known for his Khiladi series, an Indian version of James Bond, such as Mr. Bond (1992), Khiladi (1992), Main Khiladi Tu Anari (1994), Mr. & Mrs. Khiladi (1997) and Khiladi 420 (2000). He dated strings of his co-stars including Raveena Tandon, Shilpa Shetty Kundra, Pooja Batra and Rekha. His recent critically acclaimed performances include Airlift (2016), Baby (2015) and Rustom (2016). The actor beat global A-listers like Rihanna and Bradley Cooper in this year's Forbes US list of World's Highest-Paid Celebrities.",155,"['khiladi', 'mr', 'martial art', 'martial', 'bond', 'art', 'pooja batra rekha', 'pooja batra', 'pooja', 'performance saugandh well', 'performance saugandh', 'performance include airlift', 'paid celebrity', 'offered film along']"
36,Sushmita Sen,"November 19, 
     
1975    
  
in Hyderabad, Andhra Pradesh, India","Titu
Sush","5' 7½"" (1.71 m)","https://m.media-amazon.com/images/M/MV5BZmRhMzE5YzYtZTllOC00ZGRmLTgzNmYtOTkxNjhmYjFmZjY3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",Sushmita Shubeer Sen,,-1.0,"Sushmita was born in the Bengali-speaking Sen family on November 19, 1975 in Hyderabad, Andhra Pradesh, India. Her family consists of her dad, Shubeer, a former Indian Air Force Wing Commander; mom, Subhra, Jewelry Designer and owner of a Dubai-based store. She has two siblings, a sister named Neelam, who is married to Nauman Malik, and a brother named Rajeev. Subhra's dad was a poet.

She attended different schools in Jorhat, and Nagpur, but spend the majority of her schooling days in the Air Force Golden Jubilee Institute and Air Force Silver School in Delhi. She was regarded as a tomboy and spent most of her times with boys. Since the schools were Hindi medium, she could not speak English until she was 16 years of age. She subsequently not only mastered English, but became an English Honors student, and also obtained a degree in Journalism. Due to her place of birth she can speak Urdu flawlessly.

Her first public appearance was at the Air Force Club Contest at the age of 15. She did a few fashion shows thereafter. Then during 1994 she decided to be a participant in Miss India beauty pageant, fully aware that she was being pitted against the reigning favorite, Aishwarya Rai. Sushmita took everyone by surprise when she was crowned Miss India while Aishwarya had to content with being the First Runner-up. Both beauties went on to win Miss Universe and Miss World titles respectively. Ironically the final outfit for Miss Universe for Sushmita was made by a little-known Meena Bazar tailor, and her mom.

It was during 1996 that she first appeared as herself in a Bollywood movie titled 'Dastak'. Though the movie did not fare too well, she was noticed and thus began her career on the silver screen. She has since then portrayed herself in a variety of characters and also some 'item' numbers.

Not considered a classic beauty and leading quite an unconventional lifestyle she ended up in many relationships but did not marry anyone. She wanted to be a mother and to adopt a baby girl, and name her Renee. Since she is single, she had to fight a Court battle before she could finally adopt Renee. Finally on 13 April 2000 she was given the go-ahead to adopt her, even though the family-owned business in Dubai was already re-named as 'Renee' quite ironically a year earlier on 13 April 1999. ",399,"['air force', 'air', 'miss', 'force', 'sushmita', 'renee', 'adopt', 'beauty', 'subhra', 'ironically', 'named', 'finally', 'dubai', 'could']"
37,Farhan Akhtar,"January 9, 
     
1974    
  
in Mumbai, India",,"5' 7"" (1.7 m)","https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",,,-1.0,"An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet, Javed Akhtar and writer-director, Honey Irani , Farhan was raised in an environment where creativity and originality of thought were encouraged. This has made him a maverick whose films reflect refreshingly new content that easily strikes a chord with filmgoers.

In 1999, Farhan collaborated with Ritesh Sidhwani, a friend who shared his passion for good cinema, to form Excel Entertainment, a production banner that has become synonymous with excellence in film-making.

Debuting at the age of 26, as a writer, director, and producer with Dil Chahta Hai (2001) a coming-of-age film that has gained cult status, Farhan came to be lauded for his honest, path-breaking writing and his ability to extract mature performances from his cast. The film won Farhan his first National Award for 'Best Hindi Feature Film' along with Filmfare awards for 'Best Feature Film - Critics Choice' and 'Best Screenplay'.

Almost two decades later, this film continues to influence a generation of filmmakers.

Seven years after his dream debut as a writer-director, Farhan debuted as an actor-singer in Rock On!! (2008) Yet another runaway success, the film secured him a second National Award for 'Best Hindi Feature Film' and a Filmfare award for 'Best Debut Performance'.

The dream run continued with Zindagi Na Milegi Dobara (2011) which released in 2011 to much popular and critical acclaim, winning him three Filmfare awards for 'Best Film', 'Best Actor in a supporting role' and 'Best Dialogue'.

His next, a biopic on Indian athlete Milkha Singh, popularly known as 'the Flying Sikh', was entitled Bhaag Milkha Bhaag (2013).

He essayed the role with such integrity that it set the standard for other actors considering to play titular protagonists in biopics. Deservingly, Farhan swept all awards that year for 'Best Actor' as did the film for 'Best Film'. It also claimed the National award for 'Best Popular Film providing Wholesome Entertainment.'

His most recent release The Sky Is Pink (2019) premiered at the Toronto International Film Festival and received a 15-minute standing ovation from the audience at the Roy Thomson Hall.

In addition to his contribution to Indian cinema, Farhan has initiated and supported a plethora of social causes. In 2012, he founded MARD (Men against Rape & Discrimination), an initiative that raises awareness about gender-related issues amongst the youth of India. Recognizing his sustained efforts, Farhan was made the first male UNwomen goodwill ambassador (South Asia) in 2014.

Additionally, Farhan feeds his passion for music by writing, composing and performing live with his band FarhanLive.

His English language debut album 'Echoes' released in March 2019 to critical acclaim.

He has 2 daughters and lives in Mumbai, India. ",447,"['farhan', 'best', 'film', 'writer', 'award best', 'award', 'writer director', 'national award best', 'feature film', 'national award', 'feature', 'filmfare award best', 'director', 'milkha']"
38,Sunny Leone,"May 13, 
     
1981    
  
in Sarnia, Ontario, Canada",,"5' 4"" (1.63 m)","https://m.media-amazon.com/images/M/MV5BMTM2Mzc1MDYxOV5BMl5BanBnXkFtZTcwMzc1MDQ4Nw@@._V1_UY98_CR3,0,67,98_AL_.jpg",Karenjit Kaur Vohra,https://www.forbesindia.com/media/celeblist2019/small/048_Sunny%20Leone.jpg,48.0,"Born in Ontario, Canada, Sunny Leone grew up in idyllic surroundings, loving the cold Canadian winters and the snow that came with them. Building snowmen and ice skating were regular activities outside the Leone household every November through March. With a love for sports, singing and dancing, young Sunny was a consummate performer, basking in the attention it brought her and eating up every word of praise that came her way. Everything changed in 1996, when her family packed up and moved to Southern California. It was a difficult adjustment for the little Canadian girl, whose innocence and naiveté were less than fully appreciated by her new high school classmates. In addition, her adopted hometown lacked the change of seasons she so loved in the Old Country. Sunny persevered, however, and after graduating in 1999, enrolled in a local junior college. After a friend told her she should try modeling - a natural choice for a young beauty - she found a contact who specialized in adult entertainment and decided to give it a try.

Though initially wary of taking her clothes off and striking suggestive poses for the camera, curiosity got the better of her and she dived in full force, quickly becoming one of the most sought-after adult models. In 2001 Sunny was named Penthouse Pet of the Month for the March issue, and numerous layouts in other magazines soon followed, including ""Cheri"", ""High Society"", ""Swank"", ""Leg World"", ""Hustler"" and ""Club International"". She also appeared in the Penthouse: Pets in Paradise (2001) home video, as well as Ja Rule's ""Livin' It Up"" music video.

In 2005, Sunny Leone entered the adult film industry and worked her way to the top, becoming one of the most successful pornstars in the world. In addition to acting in adult films, Leone produced and directed over 60 films under her production company, Sun Lust Pictures. In 2011, Sunny set off to India to appear in the reality TV show Bigg Boss, it was here where her fortune changed and she was offered the lead role in an upcoming erotic thriller, Jism 2 by Indian filmmaker Mahesh Bhatt. Following on from the success of Jism 2, Sunny dedicated herself to Indian cinema making appearances not just in Bollywood films but regional cinema with special appearances in song and dance numbers . Her third feature role in Ragini MMS 2 garnered her more praise and box office success. As of 2016 she has appeared in over 20 Indian films and will be seen in some big projects in 2017, most notably Raees (2017) starring Bollywood superstar Shahrukh Khan. A documentary titled Mostly Sunny (2016) released at the Toronto International Film Festival and charted her meteoric rise from pornstar to Bollywood star. Sunny Leone featured only in an item song this year, but scores high on fame and endorsements.",472,"['sunny', 'leone', 'adult', 'sunny leone', 'film', 'penthouse pet', 'penthouse', 'canadian', 'adult film', 'pet', 'high', 'jism', 'addition', 'praise']"
39,Amitabh Bachchan,"October 11, 
     
1942    
  
in Allahabad, United Provinces, British India [now Uttar Pradesh, India]","Big B
Munna
Angry Young Man
Bollywood's Shahenshah
Amith
AB Sr.
One Man Industry
Superstar of the Millenium
The Last Emperor
Mahanayak
Amit ji",6' (1.83 m),"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY98_CR2,0,67,98_AL_.jpg",Amitabh Harivansh Srivastav,https://www.forbesindia.com/media/celeblist2019/small/004_Amitabh%20Bachchan.jpg,4.0,"Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But they did use one of his other assets, his deep baritone voice, which was used for narration and background commentary. He was successful in being cast in Saat Hindustani. He got his break in Bollywood after a letter of introduction from the then Prime Minister Mrs. Indira Gandhi, as he was a friend of her son, Rajiv Gandhi. This is how Amitabh made an entry in Bollywood, starting with Zanjeer, co-starred with his future wife Jaya Bhaduri, and since then there has been no looking back.

He married Jaya Bhaduri, an accomplished actress in her own right, and they had two children, Shweta and Abhishek. Shweta is married, lives a non-filmy life and has two children.

Being friends with Rajiv Gandhi, got him to decide to run for seat in the Congress from his hometown but had to leave midterm because of controversies, particularly after Rajiv and he were implicated in the now infamous ""Bofors"" case along with the U.K. based Hinduja Brothers.

After a four year break, he was back in the unsuccessful Angel of Death (1997), a comeback which the actor wanted to forget. Critics written him off but his career was saved with Big Mr. and Little Mr. (1998). But four flops in 1999 and incurring debt of over 90 Crores rupees of his sinking company ABCL saw him at an all-time low. To make matters worse, after the defeat of the Congress party, Amitabh lost considerable political support, the opposition made him a target, and his credit rating deteriorated to such an extent that a leading nationalized bank, Canara Bank, sued him for outstanding loans. He did bounce back, presenting the Indian version of Who Wants To Be A Millionaire called Kaun Banega Crorepati? (2000). After a series of hits with Mohabbatein (2000), Kabhi Khushi Kabhie Gham... (2001) and Gardener (2003) and The Uniform (2004), this elderly Bachchan is showing no signs of slowing down and proving the critics wrong once again.

His son, Abhishek, is also an actor by his own rights.

Amitabh and Jaya were interested in getting Abhishek married to Karishma, the daughter of Babita and Randhir Kapoor, they went through a formal engagement, but later broke it off.

The former Miss World and Bollywood actress, Aishwarya Rai, and Abhishek, were formally engaged on Sunday January 14, 2007, at the Bachchan residence in Juhu, Bombay, with the marriage taking place at the Bachchan residence on April 20, 2007.

On November 16, 2011, he became a Dada (Paternal Grandfather) when Aishwarya gave birth to a daughter in Mumbai Hospital. He is already a Nana (maternal grandfather) to Navya Naveli and Agastye - Shweta's children.

He continues to be one of the busiest actors and singers in Bollywood as well as on TV, as can be seen from the commercials that he appears on, especially on Sahara One. Looks like there are no limits for this super-star and once the ""Angry Young Man"" of Bollywood. Amitabh Bachchan has moved further up the ranks, making it to the top five with a successful season of Kaun Banega Crorepati.",558,"['bachchan', 'abhishek', 'amitabh', 'shweta', 'mr', 'jaya', 'rajiv', 'gandhi', 'bollywood', 'rajiv gandhi', 'kaun banega crorepati', 'kaun banega', 'crorepati', 'congress']"
40,Chitrangda Singh,"March 28, 
     
1976    
  
in Meerut, India",,"5' 2¼"" (1.58 m)","https://m.media-amazon.com/images/M/MV5BMTcxMDg5MzQ4MV5BMl5BanBnXkFtZTcwNTMzMDMxNw@@._V1_UY98_CR40,0,67,98_AL_.jpg",,,-1.0,"""You have outdone Smita Patil,"" said Shekhar Kapur, when he saw Chitrangda Singh's performance in her debut movie Hazaaron Khwaishein Aisi (2003). And he is not the only one. Time and again Chitrangda has been compared to the legendary Smita Patil.

Chitrangda began her career as a model prior to making the transition to the silver screen. Chitrangda also acted in the 2005 film Kal: Yesterday and Tomorrow (2005). She took a break from acting from 2005 to 2008 after her marriage to Indian golfer Jyoti Randhawa. She made her film acting comeback with the leading role opposite Sanjay Suri in the film Sorry Bhai! (2008) Her recent release was Sudhir Mishra's Yeh Saali Zindagi (2011).

Chitrangda is the face of popular brands like Aliva, Parachute Advansed and Garnier Age Lift. Chitrangda Singh is back and here to stay! ",138,"['chitrangda', 'smita patil', 'patil', 'chitrangda singh', 'smita', 'singh', 'film', 'randhawa made film', 'randhawa made', 'randhawa', 'prior making transition', 'prior making', 'popular brand like', 'popular brand']"
41,Jaaved Jaffery,,,,,,,-1.0,"Jaaved Jaffery is an actor, known for The Forest (2009). ",11,"['actor known', 'known', 'actor']"
42,Ameesha Patel,"June 9, 
     
1975    
  
in Bombay, Maharashtra, India","Princess
Angel
Amypoo
Amu",5' (1.52 m),"https://m.media-amazon.com/images/M/MV5BMTg3MDE2MzQ2M15BMl5BanBnXkFtZTgwNTIxMTIzOTE@._V1_UY98_CR3,0,67,98_AL_.jpg",Amisha Patel,,-1.0,"Grand-daughter of Indian freedom fighter, lawyer and former Justice Rajni Patel, Amisha, a Gemini, was born in Bombay's Breach Candy Hospital. Her younger brother Ashmit Patel is also a Bollywood film actor and her name is a blend of the first three letters of her father's name Amit and the last three letters of her mother's name Asha.

She studied at the Cathedral and John Connon High School in Bombay and went on to obtain a degree in Economics from Tufts University in Medford, Massachusetts, U.S.A. After graduation she worked for a Finance company and also modeled on the side.

She has studied Bharat Natyam dance form since the age of five and had acted in several plays in Satyadev Dubey's Theatre including a play titled 'Neelam'.

She did not have any plans of being an actress, but when Amit's friend, film-maker and actor, Rakesh Roshan, met her during a family lunch, he offered her the lead role in 'Kaho Naa... Pyaar Hai'. Amisha accepted the offer, the movie went on to become a blockbuster and made her a star overnight.

She went on to star in a number of films and her most notable works include 'Gadar: Ek Prem Katha', 'Humraaz', 'Yeh Hai Jalwa', 'Mangal Pandey', 'Honeymoon Travels Pvt. Ltd.', 'Bhool Bhulaiyaa', 'Thoda Pyaar Thoda Magic' and 'Race 2'.

She has also acted in several South Indian films.

Amisha has been the recipient of four awards for her performances in 'Kaho Naa... Pyaar Hai' and 'Gadar: Ek Prem Katha'.

She has co-starred with Akshaye Khanna, Sunny Deol, Akshay Kumar, Bobby Deol, Sanjay Dutt, Aftab Shivdasani, Hrithik Roshan, Arjun Rampal among others.

Her personal life has been marred with misunderstandings with her parents and brother, so much so that she has sought the intervention of the courts. She dated Bollywood director, Vikram Bhatt, for five years since the release of their first film together, 'Aap Mujhe Achche Lagne Lage', but they had broken-up in 2007. Patel started dating London and Delhi-based businessman Kanav Puri after her break-up, but they eventually broke up two years later in 2010.

She has many critics, who have described her as inconsistent, but have since then bitten their lips when they were proved wrong by this petite and beautiful actress - who has, and continues to enthrall her fans with a variety of performances on the silver screen. ",385,"['amisha', 'patel', 'pyaar', 'three letter', 'thoda', 'pyaar hai', 'prem katha', 'naa pyaar hai', 'naa pyaar', 'letter', 'kaho naa pyaar', 'kaho naa', 'kaho', 'gadar ek prem']"
43,Vivek Oberoi,"September 3, 
     
1976    
  
in Hyderabad, Andhra Pradesh, India",,"5' 9"" (1.75 m)","https://m.media-amazon.com/images/M/MV5BMjA0NjYxODI4MF5BMl5BanBnXkFtZTgwMDcwMDMzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg",,,-1.0,"Vivek Oberoi was born on the 3rd of September,1976 and attended Mayo college in Ajmer. At an actors' workshop in London he was spotted by none other than the director of NYU who (unsurprisingly) whisked Vivek off to New York, where he completed his Masters Degree in film acting. Back home in India Vivek worked as scriptwriter and bought his first car with the money he made from that.

But the charmer's big break came when noted filmmaker Ram Gopal Varma offered Vivek a role in his gangster flick, Company (2002). Quite an unusual entrance for a debutant in Bollywood, because the norm for young actors is to play good lover boys till their place in Filmdom is secure. Not Vivek. Apparently, Ram Gopal Varma was having second thoughts about casting Vivek in Company because he thought Vivek looked too cute for a gangster - and told him so. Vivek, not to be outdone, went to the slums of Mumbai and did his homework and a couple of weeks later barged into Varma's office dressed as Chandu the gangster, swung his feet up on the table, and landed the contract pronto.

From there the road went uphill. Vivek's immaculate performance in Company - in which he starred opposite Bollywood Big Bad Boy Ajay Devgn, Miss Bolly Manisha Koirala and the granddaddy of Malayalam Cinema, Mohanlal - was more than enough to get the media singing Oberoi's praises. Next in line was the psycho-thriller Road (2002) (opposite Company co-star and co-newcomer Antara Mali), Dum (2003) (which sank without a trace - opposite Dia Mirza) and the next big catch, Saathiya (2002), opposite Rani Mukerji.

He recently got engaged to, and then broke up with longtime girlfriend Gurpreet, and is currently linked with Rani Mukherjee and Aishwarya Rai Bachchan. Recently he got himself into the headlines for a public outburst (i.e. press conference) against Salman Khan. ",312,"['vivek', 'gangster', 'varma', 'company', 'opposite', 'recently got', 'big', 'oberoi', 'thought', 'ram gopal varma', 'ram gopal', 'gopal varma', 'gopal', 'road']"
44,Sonu Sood,"July 30, 
     
1973    
  
in Moga, Punjab, India",,"6' 0¾"" (1.85 m)","https://m.media-amazon.com/images/M/MV5BZGI2MGUwYzQtZmVmNi00MDc3LWEwMzMtNTIzMWIzMDk5YzViL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY98_CR4,0,67,98_AL_.jpg",,,-1.0,"Sonu Sood was born in May 1973 to a entrepreneur and a teacher. He was born in Moga, Punjab but was raised in Nagpur. He has two sisters. He is an engineering graduate. He is married to Sonali and they have a son Ishaant. He was a Mr. India contestant. He is mainly known as the antagonist Pashupathy in the fantasy Telugu film Arundhati (2009) and in Arbaaz Khan's Dabangg starring opposite Salman Khan. ",75,"['raised nagpur sister', 'raised nagpur', 'punjab raised nagpur', 'punjab raised', 'pashupathy fantasy telugu', 'pashupathy fantasy', 'pashupathy', 'nagpur sister engineering', 'nagpur sister', 'moga punjab raised', 'moga punjab', 'moga', 'may entrepreneur teacher', 'may entrepreneur']"
45,Rajeev Khandelwal,"October 16, 
     
1975    
  
in Jaipur, Rajasthan, India",,"5' 5¾"" (1.67 m)","https://m.media-amazon.com/images/M/MV5BMTc3MDYwMjcxNV5BMl5BanBnXkFtZTgwNDk0ODA0OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",,,-1.0,"Rajeev Khandelwal is an Indian film and television actor. Some of his most notable characters have been Dr. Aamir Ali in the 2008 debut film Aamir and ACP Arvind Mathur who battles his inner demons in Shaitan, the Tinnitus affected DJ from Soundtrack. He also played Vivaan Agasthi in the 2013 thriller, Table No. 21 Khandelwal television roles include Sujal Garewal in Kahin To Hoga and Capt. Rajveer Singh Shekhawat in Left Right Left. Khandelwal has also hosted Sach Ka Saamna. In 2011, Khandelwal became the brand ambassador for the National Geographic Channel's show Supercars. ",96,"['khandelwal', 'aamir', 'left', 'television', 'rajveer singh shekhawat', 'rajveer singh', 'rajveer', 'rajeev khandelwal indian', 'rajeev khandelwal', 'played vivaan agasthi', 'played vivaan', 'notable character dr', 'notable character', 'national geographic channel']"
